,hhid,_merge,check_dist,gt30
0,62553113,,,
1,7110119118,2020-12-02 10:43:34,2020-12-02 09:30:00,
2,7114145120,,,
3,62556123,,,
4,719108126,2011142115,uuid:58defb2d-f3af-4563-9df7-83f5e837fbee,2020-11-24 03:34:43
5,7114150105,,,
6,7114150117,,,
7,62679106,,,
8,62679119,,,
9,719112102,,,
10,62789106,2020-11-30 16:54:25,2020-11-30 15:56:00,
11,7112132125,,,
12,7110116110,,,
13,62228103,,,
14,7112132123,,,
15,62223123,,,
16,62678108,,,
17,7112130110,2020-12-19 10:53:53,2020-12-19 07:00:06,2020-12-19 08:07:21
18,62784110,uuid:53dc42b2-0ff9-4c70-874f-1d0ee293cfb3,2020-12-11 13:14:59,2020-12-10 13:28:31
19,7112132126,,,
20,719114109,,1.0,0.0
21,7110119127,,,
22,719112124,uuid:b1c73db0-74ee-44e3-840c-fa338809fd6a,2020-11-27 15:39:23,2020-11-27 02:03:01
23,719113120,uuid:98f59873-9598-4fc0-9c79-6a5c9783636b,2020-11-24 03:39:36,2020-11-19 05:13:20
24,62554117,,,0.0
25,62677121,,,
26,719113114,2011142115,uuid:0a429284-5200-4f6e-8fad-d85c0066380d,2020-11-24 03:39:32
27,7114155109,,,
28,7110115112,58.38333333333333,2011142115,uuid:d547de2d-15f8-427b-ab79-b409c55fb1f9
29,719113111,,,
30,719107120,,,
31,62227127,,,
32,719110126,,,
33,7110122107,,,
34,719110103,,,
35,62555108,,,
36,7114157122,,Cooperative,Honest
37,719114116,,,
38,7114146108,,,
39,719110109,,,
40,7110121112,,,
41,719112109,2020-11-27 05:00:00,,
42,62233126,,,
43,62229126,,,
44,7112136110,6409,106.98333333333333,2011142115
45,62789113,3077,51.46666666666667,2011212223
46,7112134111,,,1.0
47,7112130101,,,
48,11618210,,,
49,7110121110,,,
50,10709103,2020-12-09 03:31:21,2020-12-09 02:29:00,
51,7112135126,2020-12-13 10:27:53,2020-12-13 09:24:00,
52,62557105,2020-11-27 09:13:00,,
53,7110116111,2020-12-08 10:58:00,,
54,7112135108,,,
55,7110115106,2020-12-04 07:12:58,2020-12-04 06:15:00,
56,7110122106,,,
57,719110102,2020-11-26 06:56:23,2020-11-26 05:40:00,
58,7112135113,,,
59,62235127,,,
60,7114150119,,,
61,7110117112,2020-12-03 06:31:22,2020-12-03 07:40:28,2020-12-03 06:34:00
62,62225101,,,
63,7112130109,,,
64,11618517,2020-12-17 16:40:20,2020-12-17 15:32:00,
65,7112131102,,,
66,62232114,,,
67,7112136122,,,
68,719114120,,,
69,62558117,2020-11-25 10:39:07,2020-11-25 02:58:51,2020-11-25 04:24:22
70,7112134108,,,
71,7110122114,2020-12-09 06:35:33,2020-12-05 07:48:58,2020-12-05 10:04:53
